0.4661418,0.3257316,0.375184999999999,0.309479100000001,0.377604799999999,0.3494422,0.3806321,0.3645294,0.3684519,0.3028451,0.358884699999999,0.344885600000001,0.3424093,0.306748899999999,0.371384600000001,0.299298500000001,0.360871299999999,0.334753899999999,0.3492444,0.333728900000001,0.346825900000001,0.3051651,0.3333543,0.3605214,0.3530634,0.302175099999999,0.3590178,0.316337600000001,0.356548399999999,0.369520700000001,0.3590103,0.331276900000001,0.5323467,0.5160923,0.3418606,0.348830499999998,0.346801200000002,0.3729619,0.344883199999998,0.353099800000003,0.346294599999997,0.376299400000001,0.343623600000001,0.372781400000001,0.369987299999998,0.400562300000001,0.345281700000001,0.389962300000001,0.397776699999998
0.359479908163265,0.0448305665166298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18 22:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
