0.4510066,0.453948,0.4721002,0.4042396,0.3953213,0.3276571,0.3992915,0.3740256,0.4902301,0.4236174,0.3904984,0.399946999999999,0.4674937,0.380697,0.414289100000001,0.402984099999999,0.4112688,0.426591999999999,0.5189652,0.3665653,0.436904200000001,0.424808000000001,0.467606199999999,0.552995300000001,0.544602099999999,0.466314300000001,0.4672754,0.4721479,0.402984500000002,0.470975499999998,0.441136100000001,0.5393708,0.472316299999999,0.496965899999999,0.453815500000001,0.512245799999999,0.517484400000001,0.463843099999998,0.547858900000001,0.435616599999999,0.489455700000001,0.474499099999999,0.4889057,0.4393432,0.487305900000003,0.603467599999998,0.474482299999998,0.482017800000001,0.424958700000001
0.455560016326531,0.0539562369370991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18 16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
