0.5408796,0.4283522,0.4402777,0.3478919,0.4525862,0.380169299999999,0.442679900000001,0.3775572,0.4457026,0.3651512,0.4434301,0.4029332,0.4026212,0.419812799999999,0.4409323,0.3742126,0.4846295,0.406777,0.469142,0.443672100000001,0.457146099999999,0.479244300000001,0.466090399999999,0.464985200000001,0.4667165,0.538680299999999,0.522418500000001,0.4589333,0.412464499999999,0.522481500000001,0.4848365,0.486439099999998,0.5588233,0.407186200000002,0.4902357,0.470922299999998,0.4622131,0.574764600000002,0.4468003,0.517591700000001,0.497272500000001,0.548313699999998,0.4880505,0.430802500000002,0.453250999999998,0.428111900000001,0.455078399999998,0.482659300000002,0.4847666
0.458503885714286,0.0503896781746591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
