0.415943,0.4128601,0.3937864,0.341647,0.4055612,0.384509,0.5707399,0.3544859,0.406694,0.3926066,0.4361946,0.350445199999999,0.43336,0.3467717,0.435779400000001,0.3409906,0.420880199999999,0.3923211,0.405533200000001,0.411364499999999,0.3556531,0.340202100000001,0.4388044,0.3662928,0.3996526,0.4244021,0.4345949,0.3677815,0.422438,0.3564393,0.4101122,0.403046199999999,0.369401800000002,0.392128899999999,0.393428100000001,0.407211799999999,0.4124132,0.3843952,0.514809799999998,0.413988200000002,0.467690599999997,0.418050300000001,0.474484199999999,0.412224700000003,0.4589572,0.445065699999997,0.4102447,0.5045018,0.355033600000002
0.408284134693878,0.0457986517996759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18 19:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
