0.431018,0.2928902,0.3879231,0.3478257,0.336981600000001,0.362638899999999,0.381144900000001,0.3377029,0.359861199999999,0.3842389,0.372527100000001,0.387544199999999,0.418271000000001,0.360593700000001,0.402908099999999,0.369113,0.362395899999999,0.3718763,0.3603329,0.356597300000001,0.386654199999999,0.321321500000002,0.3671191,0.364867599999998,0.382706300000001,0.3565437,0.3545535,0.361566000000002,0.3838045,0.421739599999999,0.346173199999999,0.3564547,0.407749200000001,0.345598500000001,0.378218299999997,0.384475000000002,0.366487299999999,0.383912800000001,0.397265900000001,0.3770053,0.4916269,0.323601499999999,0.3912187,0.3964821,0.3914328,0.344802999999999,0.3830235,0.363177400000001,0.412219099999998
0.374003797959184,0.0312669722929345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18 14:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
